"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20"
"56" 56 99944 76946 112 1.2388 67888 23 46 0 54 2 55 42875 7069 1 7070 42875 56 49999 49945
"57" 57 99943 7633 114 1.2401 22115 38 76 0 55 2 56 42874 7069 1 7070 42874 57 49999 49944
"58" 58 99942 52635 116 1.2333 7633 57 114 0 56 2 57 42873 7069 1 7070 42873 58 49999 49943
"59" 59 99941 33550 118 1.2525 91761 49 98 0 57 2 58 42873 7068 1 7069 42873 59 49999 49942
"60" 60 99940 18202 120 0.92913 33550 59 118 0 58 2 59 42872 7068 1 7069 42872 60 49999 49941
"61" 61 99939 86370 122 1.0816 18202 60 120 0 59 2 60 42872 7067 1 7068 42872 61 49999 49940
"62" 62 99938 47052 124 1.1042 86370 61 122 0 60 2 61 42871 7067 1 7068 42871 62 49999 49939
"63" 63 99937 11205 126 0.9601 47052 62 124 0 61 2 62 42870 7067 1 7068 42870 63 49999 49938
"64" 64 99936 45233 128 1.2252 11205 63 126 0 62 2 63 42869 7067 1 7068 42869 64 49999 49937
"65" 65 99935 55382 130 1.2544 18202 60 120 0 63 2 64 42869 7066 1 7067 42869 65 49999 49936
"66" 66 99934 82285 132 0.7127 55382 65 130 0 64 2 65 42868 7066 1 7067 42868 66 49999 49935
"67" 67 99933 95268 134 1.1333 82285 66 132 0 65 2 66 42867 7066 1 7067 42867 67 49999 49934
"68" 68 99932 255 136 0.95407 95268 67 134 0 66 2 67 42866 7066 1 7067 42866 68 49999 49933
"69" 69 99931 30233 138 0.65944 255 68 136 0 67 2 68 42866 7065 1 7066 42866 69 49999 49932
"70" 70 99930 40239 140 0.67231 255 68 136 0 68 2 69 42866 7064 1 7065 42866 70 49999 49931
"71" 71 99929 52469 142 0.67555 40239 70 140 0 69 2 70 42864 7065 1 7066 42864 71 49999 49930
"72" 72 99928 36433 144 0.37766 52469 71 142 0 70 2 71 42863 7065 1 7066 42863 72 49999 49929
"73" 73 99927 34301 146 0.81619 40239 70 140 0 71 2 72 42862 7065 1 7066 42862 73 49999 49928
"74" 74 99926 63607 148 0.58918 34301 73 146 0 72 2 73 42862 7064 1 7065 42862 74 49999 49927
"75" 75 99925 66115 150 0.52859 63607 74 148 0 73 2 74 42861 7064 1 7065 42861 75 49999 49926
"76" 76 99924 23446 152 0.75654 66115 75 150 0 74 2 75 42859 7065 1 7066 42859 76 49999 49925
"77" 77 99923 57408 154 0.87183 40239 70 140 0 75 2 76 42858 7065 1 7066 42858 77 49999 49924
"78" 78 99922 66314 156 0.52506 57408 77 154 0 76 2 77 42857 7065 1 7066 42857 78 49999 49923
"79" 79 99921 24785 158 0.92566 23446 76 152 0 77 2 78 42857 7064 1 7065 42857 79 49999 49922
