-4.60660 -4.28920 -4.51420 -5.49210 -6.65460 -7.18530 -7.63320 -8.41920 -9.12510 -8.97830 -9.02750 -8.88890 -8.61060 -8.10240 -7.96680 -7.98860 -7.96190 -7.56330 -7.73950 -8.31580 -9.33380 -9.61880 -7.91860 -6.00570
-3.21030 -2.90350 -3.04340 -3.83720 -4.92360 -5.41790 -5.78320 -6.62490 -7.17820 -7.59500 -7.60980 -7.39440 -6.68190 -6.24950 -5.83810 -5.90510 -5.57900 -4.89950 -5.18840 -6.13180 -6.93510 -7.49160 -5.84410 -4.48890
-2.23750 -2.26520 -2.55120 -3.67610 -4.61620 -5.01560 -5.36920 -5.93110 -6.16820 -6.48830 -6.54220 -6.14310 -5.33350 -4.85090 -4.50790 -4.44050 -4.34380 -4.13820 -4.35620 -5.24880 -6.05280 -6.18610 -4.80390 -3.41730
-2.12830 -2.02010 -2.90220 -3.88240 -4.63610 -5.02000 -5.46090 -5.79830 -5.63220 -6.41490 -6.20330 -5.57550 -4.58160 -4.15850 -4.00710 -3.95020 -3.76880 -4.09690 -4.52680 -5.33410 -5.97380 -5.68710 -4.70040 -3.33790 
-2.20610 -2.22370 -2.85110 -3.55370 -4.33320 -4.57860 -4.95030 -5.23950 -5.37730 -6.14740 -5.98660 -5.17760 -4.16090 -3.78450 -3.83210 -3.86590 -4.21340 -4.26250 -4.16200 -4.62160 -5.47440 -5.38280 -4.39100 -3.16760
-1.32980 -1.44660 -2.00420 -2.84440 -3.31580 -3.15410 -2.83060 -3.04980 -4.04810 -5.02030 -4.84090 -3.88520 -2.79540 -2.49190 -2.65990 -3.34670 -3.60580 -3.76970 -4.07430 -4.21930 -4.66740 -4.23940 -3.37160 -2.10050 
-0.27400 -0.41780 -0.92340 -1.48470 -1.84370 -1.42480 -1.14210 -1.83280 -2.97900 -3.57000 -3.33310 -2.24200 -1.31350 -0.96640  0.38300 -0.57540 -0.74080 -0.59130 -0.41960 -2.64120 -3.25380 -2.85540 -2.09970 -0.95660
 0.26880  0.18190  0.00300 -0.45390 -0.24210  0.21240  0.33320 -0.95520 -2.17670 -2.66490 -2.24910 -1.35480 -0.35030  1.84000  0.81880  0.41530  0.58460  0.65350  0.54960  0.41300  0.23350 -2.13490 -1.54900 -0.38340
-0.48820 -0.40730 -0.25210 -0.20490  0.53370  1.05990  0.72540 -0.68300 -2.10190 -2.83530 -2.55500 -1.33940 -0.24710  1.63190  1.10600  1.16350  1.30720  1.49310  1.16160  0.99320 -2.33360 -2.59380 -2.01110 -1.46840
-2.41010 -1.30740 -0.85960 -0.06830  0.20500  0.00650 -0.59750 -2.39820 -3.98270 -4.46610 -3.51230 -1.99330  0.96050  0.80870  0.64450  0.82590  1.00550  1.28110  0.96670 -2.71140 -4.18330 -4.83370 -4.49950 -3.47920
