          10    7.905590          0.25577      0.41571      0.28090      0.23199   38.15352       20.95030       3.394534    
          20    7.345236          0.22813      0.35033      0.31898      0.19904   30.58500       20.28867       3.078825    
          30    7.178872          0.22014      0.40386      0.27676      0.22055   31.05426       17.37261       3.109329    
          40    7.100069          0.21639      0.42504      0.25355      0.22887   31.08804       16.05236       3.270584    
          50    6.805666          0.20259      0.48469      0.13523      0.24864   30.40546       11.08752       4.824101    
          60    7.331229          0.22745      0.48699      0.12948      0.24974   35.36528       12.67053       5.711122    
          70    7.318077          0.22681      0.51461      0.15961      0.28393   36.22438       12.93871       4.391169    
          80    7.376108          0.22962      0.53454      0.12063      0.29665   37.52418       11.72284       5.159941    
          90    6.997357          0.21154      0.18618      0.07063      0.03840   22.39816       15.01147       11.55337    
         100    7.595038          0.24031      0.58254      0.04565      0.34091   41.63055       9.343816       6.710237    
