          10           0          7          0          0          0          0          0          0          0
          20           0         12          0          0          0          0          0          3          0
          30           0         16          0          0          0          0          0          6          0
          40           0         20          0          0          0          0          0          6          0
          50           0         26          0          0          0          0          0          8          0
          60           0         32          0          0          0          0          0         11          0
          70           0         39          0          0          0          0          0         12          0
          80           0         46          0          0          0          0          0         13          0
          90           0         54          0          0          0          0          0         13          0
         100           0         61          0          0          0          0          0         13          0
